system:index,L8,SA,SE,L7
LC08_002076_20150502_0,7184,40.00051,41.65352,7867.5
LC08_002076_20150502_1,7184,40.00051,41.65352,7874.5
LC08_002076_20150502_2,7150,40.00051,41.65352,7879.0
LC08_002076_20150502_3,7215,40.00051,41.65352,7896.5
LC08_002076_20150502_4,7148,40.00051,41.65352,7948.0
LC08_002076_20150502_5,7470,40.00051,41.65352,8468.0
LC08_002076_20150502_6,7101,40.00051,41.65352,8126.0
LC08_002076_20150502_7,15848,40.00051,41.65352,15859.0
LC08_002076_20150502_8,19734,40.00051,41.65352,15875.0
LC08_002076_20150502_9,19901,40.00051,41.65352,17085.0
LC08_002076_20150502_10,16620,40.00051,41.65352,14856.0
LC08_002076_20150502_11,7272,40.00051,41.65352,7790.0
LC08_002076_20150502_12,12110,40.00051,41.65352,12551.0
LC08_219079_20150502_0,8377,38.50771,37.88952,7570.0
LC08_219079_20150502_1,5940,38.50771,37.88952,7594.0
LC08_226079_20150503_0,11262,38.26165,37.653717,11646.0
LC08_226079_20150503_1,13840,38.26165,37.653717,13619.0
LC08_226079_20150503_2,16093,38.26165,37.653717,15854.0
LC08_226079_20150503_3,14910,38.26165,37.653717,14476.0
LC08_226079_20150503_4,15237,38.26165,37.653717,13835.0
LC08_226079_20150503_5,20594,38.26165,37.653717,13838.0
LC08_226079_20150503_6,11182,38.26165,37.653717,11633.0
LC08_226079_20150503_7,20661,38.26165,37.653717,19289.0
LC08_226079_20150503_8,16569,38.26165,37.653717,16220.0
LC08_226079_20150503_9,17573,38.26165,37.653717,16575.0
LC08_226079_20150503_10,13856,38.26165,37.653717,17830.0
LC08_226079_20150503_11,10961,38.26165,37.653717,11141.0
LC08_226079_20150503_12,15571,38.26165,37.653717,15686.0
LC08_226079_20150503_13,10516,38.26165,37.653717,10528.0
LC08_226079_20150503_14,14726,38.26165,37.653717,13609.0
LC08_226079_20150503_15,13685,38.26165,37.653717,16813.0
LC08_226079_20150503_16,15241,38.26165,37.653717,15853.0
LC08_226081_20150503_0,17843,37.49431,35.095055,15342.0
LC08_226081_20150503_1,18398,37.49431,35.095055,16096.0
LC08_226081_20150503_2,23829,37.49431,35.095055,16158.0
LC08_226081_20150503_3,8957,37.49431,35.095055,17969.0
LC08_226081_20150503_4,14554,37.49431,35.095055,15517.0
LC08_226081_20150503_5,17218,37.49431,35.095055,14492.0
LC08_226081_20150503_6,20494,37.49431,35.095055,16871.0
LC08_226081_20150503_7,17223,37.49431,35.095055,15556.5
LC08_226081_20150503_8,16693,37.49431,35.095055,15758.5
LC08_226081_20150503_9,17782,37.49431,35.095055,16691.5
LC08_226081_20150503_10,17614,37.49431,35.095055,14604.0
LC08_226081_20150503_11,16817,37.49431,35.095055,14416.5
LC08_226082_20150503_0,21163,37.17235,33.807518,16679.0
LC08_226082_20150503_1,14828,37.17235,33.807518,16014.0
LC08_226082_20150503_2,14384,37.17235,33.807518,13984.0
LC08_226082_20150503_3,13333,37.17235,33.807518,13040.0
LC08_226082_20150503_4,17474,37.17235,33.807518,16123.0
LC08_226082_20150503_5,14739,37.17235,33.807518,13030.0
LC08_226083_20150503_0,9424,36.890083,32.515125,24968.0
LC08_226083_20150503_1,19578,36.890083,32.515125,35934.0
LC08_226083_20150503_2,13889,36.890083,32.515125,14977.0
LC08_226083_20150503_3,11802,36.890083,32.515125,15284.0
LC08_226083_20150503_4,8963,36.890083,32.515125,11466.0
LC08_226083_20150503_5,12462,36.890083,32.515125,15699.0
LC08_226083_20150503_6,13473,36.890083,32.515125,15568.0
LC08_226083_20150503_7,13977,36.890083,32.515125,13608.0
LC08_226083_20150503_8,12213,36.890083,32.515125,15556.0
LC08_226083_20150503_9,11753,36.890083,32.515125,13874.0
LC08_226083_20150503_10,17217,36.890083,32.515125,16288.0
LC08_226083_20150503_11,17430,36.890083,32.515125,17282.0
LC08_226083_20150503_12,15652,36.890083,32.515125,15158.0
LC08_226083_20150503_13,13188,36.890083,32.515125,13335.0
LC08_226083_20150503_14,13421,36.890083,32.515125,44177.0
LC08_226083_20150503_15,17590,36.890083,32.515125,21663.0
LC08_226083_20150503_16,10740,36.890083,32.515125,15814.0
LC08_226083_20150503_17,9951,36.890083,32.515125,24906.0
LC08_226083_20150503_18,17171,36.890083,32.515125,18153.0
LC08_226083_20150503_19,16055,36.890083,32.515125,31451.0
LC08_226083_20150503_20,15737,36.890083,32.515125,47704.0
LC08_226083_20150503_21,13497,36.890083,32.515125,36212.0
LC08_226083_20150503_22,15282,36.890083,32.515125,43015.0
LC08_226083_20150503_23,18386,36.890083,32.515125,33552.0
LC08_226083_20150503_24,13848,36.890083,32.515125,14603.0
LC08_226083_20150503_25,16648,36.890083,32.515125,16322.0
LC08_226083_20150503_26,15638,36.890083,32.515125,15617.0
LC08_226083_20150503_27,13430,36.890083,32.515125,14491.0
LC08_226083_20150503_28,15499,36.890083,32.515125,15339.0
LC08_226083_20150503_29,15687,36.890083,32.515125,15491.0
LC08_226083_20150503_30,16528,36.890083,32.515125,15920.0
LC08_226083_20150503_31,17185,36.890083,32.515125,17061.0
LC08_226083_20150503_32,14115,36.890083,32.515125,13741.0
LC08_226083_20150503_33,14773,36.890083,32.515125,14598.0
LC08_226083_20150503_34,10224,36.890083,32.515125,15992.0
LC08_226083_20150503_35,17224,36.890083,32.515125,16882.0
LC08_226083_20150503_36,15840,36.890083,32.515125,15301.0
LC08_226083_20150503_37,20938,36.890083,32.515125,19551.0
LC08_226083_20150503_38,15550,36.890083,32.515125,15768.0
LC08_226083_20150503_39,15099,36.890083,32.515125,14754.0
LC08_226083_20150503_40,14418,36.890083,32.515125,14611.0
LC08_226083_20150503_41,12604,36.890083,32.515125,13068.0
LC08_226083_20150503_42,16396,36.890083,32.515125,15214.0
LC08_226083_20150503_43,15965,36.890083,32.515125,15756.0
LC08_226083_20150503_44,12396,36.890083,32.515125,25243.0
LC08_226083_20150503_45,14024,36.890083,32.515125,13684.0
LC08_226083_20150503_46,13283,36.890083,32.515125,12826.0
LC08_226083_20150503_47,16769,36.890083,32.515125,16397.0
LC08_226083_20150503_48,12698,36.890083,32.515125,12839.0
LC08_226083_20150503_49,15908,36.890083,32.515125,16009.0
LC08_226083_20150503_50,12323,36.890083,32.515125,22170.0
LC08_226083_20150503_51,12461,36.890083,32.515125,14921.0
LC08_226083_20150503_52,15852,36.890083,32.515125,15900.0
LC08_226083_20150503_53,12141,36.890083,32.515125,12510.0
LC08_226083_20150503_54,15350,36.890083,32.515125,15078.0
LC08_226083_20150503_55,15059,36.890083,32.515125,14924.0
LC08_226083_20150503_56,15565,36.890083,32.515125,15927.0
LC08_226083_20150503_57,17775,36.890083,32.515125,17242.0
LC08_226083_20150503_58,16753,36.890083,32.515125,16381.0
LC08_226083_20150503_59,18000,36.890083,32.515125,18088.0
LC08_226083_20150503_60,17331,36.890083,32.515125,16822.0
LC08_226083_20150503_61,17701,36.890083,32.515125,16727.0
