system:index,L8,SA,SE,L7
LC08_001076_20150511_0,13977,37.87927,39.737717,14476.0
LC08_001076_20150511_1,18050,37.87927,39.737717,17297.0
LC08_001076_20150511_2,13942,37.87927,39.737717,13616.0
LC08_001076_20150511_3,13630,37.87927,39.737717,13264.0
LC08_001076_20150511_4,18666,37.87927,39.737717,17613.0
LC08_001076_20150511_5,16675,37.87927,39.737717,15529.0
LC08_001076_20150511_6,17584,37.87927,39.737717,16569.0
LC08_001076_20150511_7,14504,37.87927,39.737717,12580.0
LC08_001076_20150511_8,16477,37.87927,39.737717,16227.0
LC08_001076_20150511_9,15243,37.87927,39.737717,15378.0
LC08_001076_20150511_10,15132,37.87927,39.737717,16058.0
LC08_001076_20150511_11,13782,37.87927,39.737717,14677.0
LC08_001076_20150511_12,15438,37.87927,39.737717,15560.0
LC08_001076_20150511_13,13242,37.87927,39.737717,13096.0
LC08_001076_20150511_14,13240,37.87927,39.737717,12747.0
LC08_001076_20150511_15,15022,37.87927,39.737717,14520.0
LC08_001076_20150511_16,6982,37.87927,39.737717,7971.0
LC08_001076_20150511_17,13008,37.87927,39.737717,13649.0
LC08_001076_20150511_18,13337,37.87927,39.737717,14002.0
LC08_001076_20150511_19,15194,37.87927,39.737717,16442.0
LC08_001076_20150511_20,14307,37.87927,39.737717,14681.0
LC08_001076_20150511_21,14365,37.87927,39.737717,14769.0
LC08_001076_20150511_22,15318,37.87927,39.737717,15815.0
LC08_001076_20150511_23,19342,37.87927,39.737717,18936.0
LC08_001076_20150511_24,15916,37.87927,39.737717,16515.5
LC08_001076_20150511_25,15485,37.87927,39.737717,15378.0
LC08_001076_20150511_26,15959,37.87927,39.737717,16038.0
LC08_001076_20150511_27,15537,37.87927,39.737717,15687.0
LC08_001076_20150511_28,16378,37.87927,39.737717,16396.0
LC08_001076_20150511_29,13840,37.87927,39.737717,14333.0
LC08_001076_20150511_30,13410,37.87927,39.737717,13809.0
LC08_001076_20150511_31,13700,37.87927,39.737717,14311.0
LC08_001076_20150511_32,13149,37.87927,39.737717,13434.0
LC08_001076_20150511_33,15592,37.87927,39.737717,17954.5
LC08_001076_20150511_34,18603,37.87927,39.737717,18272.0
LC08_001077_20150511_0,7190,37.408833,38.459316,7986.0
LC08_001077_20150511_1,5938,37.408833,38.459316,8003.0
LC08_001077_20150511_2,7063,37.408833,38.459316,7808.0
LC08_001077_20150511_3,6921,37.408833,38.459316,7804.0
LC08_001077_20150511_4,6917,37.408833,38.459316,7974.0
LC08_001077_20150511_5,20208,37.408833,38.459316,20821.0
LC08_001077_20150511_6,15826,37.408833,38.459316,16106.0
LC08_001077_20150511_7,16137,37.408833,38.459316,16627.0
LC08_001077_20150511_8,20024,37.408833,38.459316,20457.0
LC08_001077_20150511_9,16606,37.408833,38.459316,16820.0
LC08_001077_20150511_10,14648,37.408833,38.459316,15244.0
LC08_001077_20150511_11,14695,37.408833,38.459316,15427.0
LC08_001077_20150511_12,17146,37.408833,38.459316,17711.0
LC08_001077_20150511_13,18362,37.408833,38.459316,17691.0
LC08_001077_20150511_14,13560,37.408833,38.459316,13511.0
LC08_001077_20150511_15,16219,37.408833,38.459316,13872.0
LC08_001077_20150511_16,15146,37.408833,38.459316,15483.0
LC08_001077_20150511_17,14666,37.408833,38.459316,12659.0
LC08_001077_20150511_18,15286,37.408833,38.459316,13873.0
LC08_001077_20150511_19,16666,37.408833,38.459316,17412.0
LC08_001077_20150511_20,15647,37.408833,38.459316,16184.0
LC08_001077_20150511_21,14414,37.408833,38.459316,14771.0
LC08_001077_20150511_22,18922,37.408833,38.459316,19512.0
LC08_001077_20150511_23,15821,37.408833,38.459316,15840.0
LC08_001077_20150511_24,17325,37.408833,38.459316,17810.0
LC08_001077_20150511_25,14895,37.408833,38.459316,14988.0
LC08_001077_20150511_26,14665,37.408833,38.459316,14468.0
LC08_001077_20150511_27,13821,37.408833,38.459316,13587.0
LC08_001077_20150511_28,17085,37.408833,38.459316,17833.0
LC08_001077_20150511_29,14936,37.408833,38.459316,14834.0
LC08_001077_20150511_30,14487,37.408833,38.459316,14301.0
LC08_001077_20150511_31,16344,37.408833,38.459316,16727.0
LC08_001077_20150511_32,17889,37.408833,38.459316,17792.0
LC08_001077_20150511_33,15015,37.408833,38.459316,15497.0
LC08_001077_20150511_34,9281,37.408833,38.459316,9314.0
LC08_001077_20150511_35,14790,37.408833,38.459316,14797.0
LC08_001077_20150511_36,15617,37.408833,38.459316,16030.0
LC08_001077_20150511_37,15163,37.408833,38.459316,15330.0
LC08_001077_20150511_38,18343,37.408833,38.459316,18333.0
LC08_001077_20150511_39,13625,37.408833,38.459316,13743.0
LC08_001077_20150511_40,13911,37.408833,38.459316,14457.0
LC08_001077_20150511_41,14769,37.408833,38.459316,14990.0
LC08_001077_20150511_42,14115,37.408833,38.459316,14465.0
LC08_001077_20150511_43,17857,37.408833,38.459316,18883.0
LC08_001077_20150511_44,21392,37.408833,38.459316,21349.0
LC08_001077_20150511_45,12284,37.408833,38.459316,12704.0
LC08_001077_20150511_46,16290,37.408833,38.459316,17491.0
LC08_001077_20150511_47,15973,37.408833,38.459316,16083.0
LC08_001077_20150511_48,17881,37.408833,38.459316,18392.0
LC08_001077_20150511_49,14523,37.408833,38.459316,15409.5
LC08_001077_20150511_50,15623,37.408833,38.459316,16445.0
LC08_001077_20150511_51,15742,37.408833,38.459316,16621.0
LC08_001077_20150511_52,18127,37.408833,38.459316,15955.5
LC08_001077_20150511_53,17435,37.408833,38.459316,18100.5
LC08_001077_20150511_54,15509,37.408833,38.459316,16491.0
LC08_001077_20150511_55,12805,37.408833,38.459316,12739.0
LC08_001077_20150511_56,14449,37.408833,38.459316,14347.5
LC08_001077_20150511_57,17086,37.408833,38.459316,17823.0
LC08_001077_20150511_58,13166,37.408833,38.459316,13836.0
LC08_001078_20150511_0,12151,36.981712,37.174644,10617.0
LC08_001078_20150511_1,13129,36.981712,37.174644,13696.0
LC08_001078_20150511_2,13422,36.981712,37.174644,14245.0
LC08_001078_20150511_3,14306,36.981712,37.174644,16406.0
LC08_001078_20150511_4,13720,36.981712,37.174644,11897.0
LC08_001078_20150511_5,12701,36.981712,37.174644,13356.0
LC08_001078_20150511_6,15183,36.981712,37.174644,15691.0
LC08_001078_20150511_7,14130,36.981712,37.174644,14986.0
LC08_001078_20150511_8,14199,36.981712,37.174644,14597.0
LC08_001078_20150511_9,13433,36.981712,37.174644,13904.0
LC08_001078_20150511_10,12960,36.981712,37.174644,13547.0
LC08_001078_20150511_11,12506,36.981712,37.174644,13003.0
LC08_001078_20150511_12,13107,36.981712,37.174644,13185.0
LC08_001078_20150511_13,12902,36.981712,37.174644,13006.0
LC08_001078_20150511_14,14302,36.981712,37.174644,14285.0
LC08_001078_20150511_15,13857,36.981712,37.174644,13737.0
LC08_001078_20150511_16,14805,36.981712,37.174644,15190.0
LC08_001078_20150511_17,13249,36.981712,37.174644,13376.0
LC08_001078_20150511_18,12669,36.981712,37.174644,13015.0
LC08_001078_20150511_19,12330,36.981712,37.174644,12471.0
LC08_001078_20150511_20,12947,36.981712,37.174644,11548.0
LC08_001078_20150511_21,19442,36.981712,37.174644,18481.0
LC08_001078_20150511_22,13156,36.981712,37.174644,13201.0
LC08_001078_20150511_23,13342,36.981712,37.174644,13395.0
LC08_001078_20150511_24,14763,36.981712,37.174644,14858.0
LC08_001078_20150511_25,13225,36.981712,37.174644,13394.0
LC08_001078_20150511_26,12455,36.981712,37.174644,13946.0
LC08_001078_20150511_27,11749,36.981712,37.174644,11939.0
LC08_001078_20150511_28,14929,36.981712,37.174644,15415.0
LC08_001078_20150511_29,14209,36.981712,37.174644,14141.0
LC08_001078_20150511_30,13840,36.981712,37.174644,13777.0
LC08_001078_20150511_31,16212,36.981712,37.174644,16159.0
LC08_001078_20150511_32,13608,36.981712,37.174644,13047.0
LC08_001078_20150511_33,13021,36.981712,37.174644,13579.0
LC08_001078_20150511_34,20928,36.981712,37.174644,20538.0
LC08_001078_20150511_35,15739,36.981712,37.174644,15432.0
LC08_001078_20150511_36,14242,36.981712,37.174644,14329.0
LC08_001078_20150511_37,17249,36.981712,37.174644,16897.0
LC08_001078_20150511_38,14218,36.981712,37.174644,13965.0
LC08_001078_20150511_39,16202,36.981712,37.174644,15989.0
LC08_001078_20150511_40,12684,36.981712,37.174644,12691.0
LC08_001078_20150511_41,15586,36.981712,37.174644,15783.5
LC08_001078_20150511_42,17581,36.981712,37.174644,16249.5
LC08_001078_20150511_43,17465,36.981712,37.174644,16805.0
LC08_001078_20150511_44,15323,36.981712,37.174644,14959.0
LC08_001078_20150511_45,15651,36.981712,37.174644,15695.5
LC08_001078_20150511_46,14832,36.981712,37.174644,15337.5
LC08_001078_20150511_47,12587,36.981712,37.174644,15340.0
LC08_001078_20150511_48,14755,36.981712,37.174644,14529.0
LC08_001078_20150511_49,19327,36.981712,37.174644,18744.0
LC08_001078_20150511_50,19815,36.981712,37.174644,20018.0
LC08_001078_20150511_51,13476,36.981712,37.174644,13795.0
LC08_001078_20150511_52,15838,36.981712,37.174644,16433.5
LC08_001078_20150511_53,14799,36.981712,37.174644,15417.5
LC08_001078_20150511_54,10344,36.981712,37.174644,9965.0
LC08_001078_20150511_55,15568,36.981712,37.174644,14815.0
LC08_001078_20150511_56,15049,36.981712,37.174644,13857.0
LC08_001078_20150511_57,19353,36.981712,37.174644,18934.5
LC08_001079_20150511_0,12923,36.59627,35.883995,12437.0
LC08_001079_20150511_1,15555,36.59627,35.883995,14329.0
LC08_001079_20150511_2,15434,36.59627,35.883995,14139.0
LC08_001079_20150511_3,16625,36.59627,35.883995,18236.0
LC08_001079_20150511_4,20262,36.59627,35.883995,18258.0
LC08_001079_20150511_5,14035,36.59627,35.883995,14481.0
LC08_001079_20150511_6,10065,36.59627,35.883995,10551.0
LC08_001079_20150511_7,12611,36.59627,35.883995,11319.0
LC08_001079_20150511_8,11989,36.59627,35.883995,11325.0
LC08_001079_20150511_9,12287,36.59627,35.883995,12280.0
LC08_001079_20150511_10,15822,36.59627,35.883995,15127.0
LC08_001079_20150511_11,9669,36.59627,35.883995,9242.0
LC08_001079_20150511_12,13056,36.59627,35.883995,13599.0
LC08_001079_20150511_13,14104,36.59627,35.883995,13791.0
LC08_001079_20150511_14,15647,36.59627,35.883995,15522.0
LC08_001079_20150511_15,12093,36.59627,35.883995,11530.0
LC08_001079_20150511_16,15514,36.59627,35.883995,15363.0
LC08_001079_20150511_17,13992,36.59627,35.883995,14417.0
LC08_001079_20150511_18,13819,36.59627,35.883995,13432.0
LC08_001079_20150511_19,15030,36.59627,35.883995,14613.0
LC08_001079_20150511_20,11729,36.59627,35.883995,11572.0
LC08_001079_20150511_21,14529,36.59627,35.883995,13670.0
LC08_001079_20150511_22,13704,36.59627,35.883995,13098.0
LC08_001079_20150511_23,11946,36.59627,35.883995,11754.0
LC08_001079_20150511_24,11632,36.59627,35.883995,11492.5
LC08_001079_20150511_25,20339,36.59627,35.883995,19008.0
LC08_001079_20150511_26,17474,36.59627,35.883995,16544.0
