system:index,L8,SA,SE,L7
LC08_224078_20150505_0,14932,38.238827,38.47815,14034.0
LC08_224078_20150505_1,18495,38.238827,38.47815,18214.0
LC08_224078_20150505_2,17180,38.238827,38.47815,16304.0
LC08_224078_20150505_3,18046,38.238827,38.47815,16766.0
LC08_224078_20150505_4,22029,38.238827,38.47815,21152.0
LC08_224078_20150505_5,20620,38.238827,38.47815,20235.0
LC08_224078_20150505_6,19667,38.238827,38.47815,19550.0
LC08_224078_20150505_7,19734,38.238827,38.47815,19523.0
LC08_224078_20150505_8,18085,38.238827,38.47815,17193.0
LC08_224079_20150505_0,18637,37.807514,37.202328,17806.0
LC08_224079_20150505_1,17558,37.807514,37.202328,16129.0
LC08_224079_20150505_2,13816,37.807514,37.202328,14242.5
LC08_224079_20150505_3,19410,37.807514,37.202328,17789.5
LC08_224079_20150505_4,20183,37.807514,37.202328,18727.0
LC08_224079_20150505_5,20087,37.807514,37.202328,18257.0
LC08_224079_20150505_6,18953,37.807514,37.202328,17908.0
LC08_224079_20150505_7,16513,37.807514,37.202328,16705.0
LC08_224079_20150505_8,18000,37.807514,37.202328,16967.0
LC08_224079_20150505_9,14066,37.807514,37.202328,13117.0
LC08_224079_20150505_10,16952,37.807514,37.202328,15899.0
LC08_224079_20150505_11,16146,37.807514,37.202328,15529.0
LC08_224079_20150505_12,15798,37.807514,37.202328,15409.0
LC08_224079_20150505_13,17907,37.807514,37.202328,16735.0
LC08_224079_20150505_14,15343,37.807514,37.202328,14577.0
LC08_224079_20150505_15,15275,37.807514,37.202328,14329.0
LC08_224079_20150505_16,18121,37.807514,37.202328,17285.0
LC08_224079_20150505_17,20967,37.807514,37.202328,19788.0
LC08_224079_20150505_18,11109,37.807514,37.202328,11050.0
LC08_224079_20150505_19,14536,37.807514,37.202328,13814.0
LC08_224079_20150505_20,15553,37.807514,37.202328,14538.0
LC08_224079_20150505_21,18366,37.807514,37.202328,16948.0
LC08_224079_20150505_22,19466,37.807514,37.202328,18023.0
LC08_224079_20150505_23,15626,37.807514,37.202328,15034.0
LC08_224079_20150505_24,16295,37.807514,37.202328,15765.0
LC08_224079_20150505_25,17968,37.807514,37.202328,18867.0
LC08_224079_20150505_26,14604,37.807514,37.202328,14975.0
LC08_224079_20150505_27,16910,37.807514,37.202328,16906.0
LC08_224079_20150505_28,17085,37.807514,37.202328,17315.0
LC08_224079_20150505_29,20948,37.807514,37.202328,20213.0
LC08_224079_20150505_30,16708,37.807514,37.202328,17074.0
LC08_224079_20150505_31,14591,37.807514,37.202328,14414.0
LC08_224079_20150505_32,15740,37.807514,37.202328,16184.0
LC08_224079_20150505_33,22251,37.807514,37.202328,20343.0
LC08_224079_20150505_34,16685,37.807514,37.202328,16139.0
LC08_224079_20150505_35,18006,37.807514,37.202328,16511.0
LC08_224079_20150505_36,20047,37.807514,37.202328,18938.0
LC08_224079_20150505_37,7260,37.807514,37.202328,7556.0
LC08_224079_20150505_38,7198,37.807514,37.202328,7680.0
LC08_224079_20150505_39,7207,37.807514,37.202328,7680.0
LC08_224079_20150505_40,7228,37.807514,37.202328,7679.0
LC08_224079_20150505_41,17426,37.807514,37.202328,16272.0
