system:index,L8,SA,SE,L7
LC08_001076_20150612_0,11466,34.814743,35.016525,11499.0
LC08_001076_20150612_1,15478,34.814743,35.016525,15082.0
LC08_001076_20150612_2,17891,34.814743,35.016525,16297.0
LC08_001076_20150612_3,13994,34.814743,35.016525,13897.0
LC08_001076_20150612_4,17744,34.814743,35.016525,16507.0
LC08_001076_20150612_5,20325,34.814743,35.016525,16106.0
LC08_001076_20150612_6,19722,34.814743,35.016525,17515.0
LC08_001076_20150612_7,13511,34.814743,35.016525,13322.0
LC08_001076_20150612_8,14832,34.814743,35.016525,14825.0
LC08_001076_20150612_9,12163,34.814743,35.016525,12294.0
LC08_001076_20150612_10,15532,34.814743,35.016525,15806.0
LC08_001076_20150612_11,15031,34.814743,35.016525,15225.0
LC08_001076_20150612_12,13998,34.814743,35.016525,14063.0
LC08_001076_20150612_13,16651,34.814743,35.016525,16593.0
LC08_001076_20150612_14,12318,34.814743,35.016525,12678.0
LC08_001076_20150612_15,15697,34.814743,35.016525,15827.0
LC08_001076_20150612_16,14980,34.814743,35.016525,15250.0
LC08_001076_20150612_17,15434,34.814743,35.016525,15139.0
LC08_001076_20150612_18,13322,34.814743,35.016525,13130.0
LC08_001076_20150612_19,13049,34.814743,35.016525,13130.0
LC08_001076_20150612_20,15400,34.814743,35.016525,14755.0
LC08_001076_20150612_21,7134,34.814743,35.016525,7687.0
LC08_001076_20150612_22,7227,34.814743,35.016525,7687.0
LC08_001076_20150612_23,13611,34.814743,35.016525,13648.5
LC08_001076_20150612_24,12496,34.814743,35.016525,12955.0
LC08_001076_20150612_25,13247,34.814743,35.016525,13655.5
LC08_001076_20150612_26,13136,34.814743,35.016525,13754.5
LC08_001076_20150612_27,15205,34.814743,35.016525,15349.0
LC08_001076_20150612_28,16050,34.814743,35.016525,16219.0
LC08_001076_20150612_29,13186,34.814743,35.016525,13875.0
LC08_001076_20150612_30,13420,34.814743,35.016525,13483.0
LC08_001076_20150612_31,14177,34.814743,35.016525,14271.0
LC08_001076_20150612_32,15261,34.814743,35.016525,15316.0
LC08_001076_20150612_33,15691,34.814743,35.016525,15918.0
LC08_001076_20150612_34,15533,34.814743,35.016525,16114.0
LC08_001076_20150612_35,14301,34.814743,35.016525,14540.0
LC08_001076_20150612_36,14353,34.814743,35.016525,14660.0
LC08_001076_20150612_37,14248,34.814743,35.016525,14663.0
LC08_001077_20150612_0,15884,34.482506,33.702774,16082.0
LC08_001077_20150612_1,13817,34.482506,33.702774,12606.0
LC08_001077_20150612_2,7261,34.482506,33.702774,7703.0
LC08_001077_20150612_3,7208,34.482506,33.702774,7910.0
LC08_001077_20150612_4,7134,34.482506,33.702774,7697.0
LC08_001077_20150612_5,11216,34.482506,33.702774,12479.0
LC08_001077_20150612_6,14535,34.482506,33.702774,15133.0
LC08_001077_20150612_7,16942,34.482506,33.702774,17992.0
LC08_001077_20150612_8,10360,34.482506,33.702774,10864.0
LC08_001077_20150612_9,16444,34.482506,33.702774,16979.0
LC08_001077_20150612_10,16929,34.482506,33.702774,17199.0
LC08_001077_20150612_11,13673,34.482506,33.702774,13935.0
LC08_001077_20150612_12,15266,34.482506,33.702774,15788.0
LC08_001077_20150612_13,16973,34.482506,33.702774,17443.0
LC08_001077_20150612_14,13664,34.482506,33.702774,13963.0
LC08_001077_20150612_15,16948,34.482506,33.702774,17456.0
LC08_001077_20150612_16,15206,34.482506,33.702774,15427.0
LC08_001077_20150612_17,14397,34.482506,33.702774,15031.0
LC08_001077_20150612_18,14280,34.482506,33.702774,14778.0
LC08_001077_20150612_19,15349,34.482506,33.702774,15802.0
LC08_001077_20150612_20,18049,34.482506,33.702774,18271.0
LC08_001077_20150612_21,13310,34.482506,33.702774,13766.0
LC08_001077_20150612_22,15097,34.482506,33.702774,15611.0
LC08_001077_20150612_23,15147,34.482506,33.702774,15817.0
LC08_001077_20150612_24,13817,34.482506,33.702774,14387.0
LC08_001077_20150612_25,14888,34.482506,33.702774,15412.0
LC08_001077_20150612_26,14476,34.482506,33.702774,14803.0
LC08_001077_20150612_27,17937,34.482506,33.702774,18504.0
LC08_001077_20150612_28,15852,34.482506,33.702774,16474.0
LC08_001077_20150612_29,15584,34.482506,33.702774,15871.0
LC08_001077_20150612_30,15666,34.482506,33.702774,16281.0
LC08_001077_20150612_31,15637,34.482506,33.702774,16087.0
LC08_001077_20150612_32,14131,34.482506,33.702774,14500.0
LC08_001077_20150612_33,16000,34.482506,33.702774,16387.0
LC08_001077_20150612_34,21834,34.482506,33.702774,21979.0
LC08_001077_20150612_35,16316,34.482506,33.702774,16680.0
LC08_001077_20150612_36,17465,34.482506,33.702774,17719.0
LC08_001077_20150612_37,17829,34.482506,33.702774,18548.0
LC08_001077_20150612_38,14324,34.482506,33.702774,14816.0
LC08_001077_20150612_39,12313,34.482506,33.702774,13040.5
LC08_001077_20150612_40,15952,34.482506,33.702774,16697.0
LC08_001077_20150612_41,13034,34.482506,33.702774,13513.0
LC08_001077_20150612_42,18897,34.482506,33.702774,19916.0
LC08_001077_20150612_43,15221,34.482506,33.702774,15904.0
LC08_001077_20150612_44,16832,34.482506,33.702774,17910.0
LC08_001077_20150612_45,15414,34.482506,33.702774,15506.0
LC08_001077_20150612_46,16250,34.482506,33.702774,16933.0
LC08_001077_20150612_47,13369,34.482506,33.702774,13684.0
LC08_001077_20150612_48,15095,34.482506,33.702774,15311.0
LC08_001077_20150612_49,14275,34.482506,33.702774,14510.0
