system:index,L8,SA,SE,L7
LC08_223080_20150530_0,15426,34.046116,31.174683,17140.0
LC08_223080_20150530_1,19227,34.046116,31.174683,17149.0
LC08_223080_20150530_2,16321,34.046116,31.174683,16076.0
LC08_223080_20150530_3,14202,34.046116,31.174683,13433.0
LC08_223080_20150530_4,12927,34.046116,31.174683,12350.0
LC08_223080_20150530_5,17233,34.046116,31.174683,16533.0
LC08_223080_20150530_6,19741,34.046116,31.174683,18499.0
LC08_223080_20150530_7,18103,34.046116,31.174683,17129.0
LC08_223080_20150530_8,19646,34.046116,31.174683,18466.0
LC08_223080_20150530_9,16801,34.046116,31.174683,15621.0
LC08_223080_20150530_10,18558,34.046116,31.174683,17186.0
LC08_223080_20150530_11,17860,34.046116,31.174683,16501.0
LC08_223080_20150530_12,18103,34.046116,31.174683,16934.0
LC08_223080_20150530_13,12048,34.046116,31.174683,11914.0
LC08_223080_20150530_14,14528,34.046116,31.174683,13910.0
LC08_223080_20150530_15,18775,34.046116,31.174683,17625.0
LC08_223080_20150530_16,11167,34.046116,31.174683,11928.0
LC08_223080_20150530_17,18972,34.046116,31.174683,18274.0
LC08_223080_20150530_18,19154,34.046116,31.174683,17838.0
LC08_223080_20150530_19,18852,34.046116,31.174683,17843.0
LC08_223080_20150530_20,17459,34.046116,31.174683,17198.0
LC08_223080_20150530_21,18099,34.046116,31.174683,18068.0
LC08_223080_20150530_22,18695,34.046116,31.174683,18082.0
LC08_223080_20150530_23,17820,34.046116,31.174683,15025.0
LC08_223080_20150530_24,15559,34.046116,31.174683,13919.0
LC08_223080_20150530_25,14170,34.046116,31.174683,14796.0
LC08_223080_20150530_26,15325,34.046116,31.174683,15899.0
LC08_223080_20150530_27,18539,34.046116,31.174683,18100.0
LC08_223080_20150530_28,17426,34.046116,31.174683,9083.0
LC08_223080_20150530_29,16436,34.046116,31.174683,15488.0
LC08_223080_20150530_30,15178,34.046116,31.174683,14831.0
LC08_223080_20150530_31,18536,34.046116,31.174683,17490.0
LC08_223080_20150530_32,17721,34.046116,31.174683,17032.0
LC08_223080_20150530_33,18001,34.046116,31.174683,16780.0
LC08_223080_20150530_34,20013,34.046116,31.174683,15250.0
LC08_223080_20150530_35,18562,34.046116,31.174683,17465.0
LC08_223080_20150530_36,20353,34.046116,31.174683,18533.0
LC08_223080_20150530_37,19423,34.046116,31.174683,19021.0
LC08_223080_20150530_38,25610,34.046116,31.174683,19238.0
LC08_223080_20150530_39,21910,34.046116,31.174683,20131.0
LC08_223080_20150530_40,15793,34.046116,31.174683,15070.0
LC08_223080_20150530_41,16442,34.046116,31.174683,15073.0
LC08_223080_20150530_42,17244,34.046116,31.174683,15727.0
LC08_223080_20150530_43,22654,34.046116,31.174683,19946.0
LC08_223080_20150530_44,17144,34.046116,31.174683,15759.0
LC08_223080_20150530_45,19756,34.046116,31.174683,15241.5
LC08_223080_20150530_46,15987,34.046116,31.174683,20413.0
LC08_223080_20150530_47,25510,34.046116,31.174683,23794.0
LC08_223080_20150530_48,16235,34.046116,31.174683,16738.5
LC08_223080_20150530_49,19434,34.046116,31.174683,19518.0
LC08_223080_20150530_50,15735,34.046116,31.174683,16217.5
LC08_223080_20150530_51,16016,34.046116,31.174683,14209.0
LC08_223080_20150530_52,14040,34.046116,31.174683,14605.0
LC08_223080_20150530_53,13983,34.046116,31.174683,14325.5
LC08_223081_20150530_0,20231,33.825066,29.849463,17654.0
LC08_223081_20150530_1,17357,33.825066,29.849463,18569.0
LC08_223081_20150530_2,17398,33.825066,29.849463,17414.0
LC08_223081_20150530_3,18331,33.825066,29.849463,15834.0
LC08_223081_20150530_4,13642,33.825066,29.849463,13605.0
LC08_223081_20150530_5,17326,33.825066,29.849463,17399.0
LC08_223081_20150530_6,12759,33.825066,29.849463,11344.0
LC08_223081_20150530_7,16690,33.825066,29.849463,15630.0
LC08_223081_20150530_8,18707,33.825066,29.849463,16987.0
LC08_223081_20150530_9,18032,33.825066,29.849463,17197.0
LC08_223081_20150530_10,15606,33.825066,29.849463,14056.0
LC08_223081_20150530_11,15197,33.825066,29.849463,16651.0
LC08_223081_20150530_12,19476,33.825066,29.849463,18605.0
LC08_223081_20150530_13,16732,33.825066,29.849463,18289.0
LC08_223081_20150530_14,19518,33.825066,29.849463,17756.0
LC08_223081_20150530_15,19156,33.825066,29.849463,21263.0
LC08_223081_20150530_16,20423,33.825066,29.849463,20082.0
LC08_223081_20150530_17,14705,33.825066,29.849463,9272.0
LC08_223081_20150530_18,13746,33.825066,29.849463,17239.0
LC08_223081_20150530_19,23398,33.825066,29.849463,19475.0
LC08_223081_20150530_20,17470,33.825066,29.849463,16599.0
LC08_223081_20150530_21,19368,33.825066,29.849463,14367.0
LC08_223081_20150530_22,20272,33.825066,29.849463,11000.0
LC08_223081_20150530_23,17715,33.825066,29.849463,18179.0
LC08_223081_20150530_24,17171,33.825066,29.849463,17107.0
LC08_223081_20150530_25,18740,33.825066,29.849463,18043.0
LC08_223081_20150530_26,15334,33.825066,29.849463,15325.0
LC08_223081_20150530_27,13328,33.825066,29.849463,12146.0
LC08_223081_20150530_28,17023,33.825066,29.849463,16765.0
LC08_223081_20150530_29,16358,33.825066,29.849463,17901.0
LC08_223081_20150530_30,15550,33.825066,29.849463,16421.0
LC08_223081_20150530_31,18620,33.825066,29.849463,17500.0
LC08_223081_20150530_32,13143,33.825066,29.849463,19511.5
LC08_223081_20150530_33,15464,33.825066,29.849463,14499.0
LC08_223081_20150530_34,17530,33.825066,29.849463,17131.5
LC08_223081_20150530_35,16843,33.825066,29.849463,17225.5
LC08_223081_20150530_36,19962,33.825066,29.849463,18601.0
LC08_223081_20150530_37,16568,33.825066,29.849463,16145.5
LC08_223081_20150530_38,17110,33.825066,29.849463,19444.5
LC08_223081_20150530_39,20422,33.825066,29.849463,20566.0
LC08_223082_20150530_0,16510,33.637253,28.520851,11303.0
LC08_223082_20150530_1,15398,33.637253,28.520851,16401.0
LC08_223082_20150530_2,19080,33.637253,28.520851,17151.0
LC08_223082_20150530_3,18317,33.637253,28.520851,17888.0
LC08_223082_20150530_4,20648,33.637253,28.520851,22811.0
LC08_223082_20150530_5,14065,33.637253,28.520851,14188.0
LC08_223082_20150530_6,11264,33.637253,28.520851,12975.0
LC08_223082_20150530_7,19898,33.637253,28.520851,15946.0
LC08_223082_20150530_8,18413,33.637253,28.520851,18735.0
LC08_223083_20150530_0,16179,33.482174,27.189665,17583.0
LC08_223083_20150530_1,16217,33.482174,27.189665,20692.0
LC08_223083_20150530_2,17814,33.482174,27.189665,16306.0
LC08_223083_20150530_3,17720,33.482174,27.189665,15089.0
LC08_223083_20150530_4,17913,33.482174,27.189665,17451.0
LC08_223083_20150530_5,18068,33.482174,27.189665,17871.0
