system:index,L8,SA,SE,L7
LC08_220080_20150509_0,16788,36.622208,35.032394,14799.0
LC08_220080_20150509_1,18926,36.622208,35.032394,18889.0
LC08_220080_20150509_2,19609,36.622208,35.032394,18950.0
LC08_220080_20150509_3,18042,36.622208,35.032394,17132.0
LC08_220080_20150509_4,14739,36.622208,35.032394,15960.0
LC08_220080_20150509_5,16271,36.622208,35.032394,16837.0
LC08_220080_20150509_6,17231,36.622208,35.032394,18608.0
LC08_220080_20150509_7,16841,36.622208,35.032394,17942.0
LC08_220080_20150509_8,16603,36.622208,35.032394,14688.0
LC08_220080_20150509_9,16861,36.622208,35.032394,15681.0
LC08_220080_20150509_10,17304,36.622208,35.032394,16643.0
LC08_220080_20150509_11,20674,36.622208,35.032394,20393.0
LC08_220080_20150509_12,15237,36.622208,35.032394,16473.0
LC08_220080_20150509_13,14815,36.622208,35.032394,16259.0
LC08_220080_20150509_14,16149,36.622208,35.032394,17912.0
LC08_220080_20150509_15,16446,36.622208,35.032394,17774.0
LC08_220080_20150509_16,18240,36.622208,35.032394,19764.0
LC08_220080_20150509_17,17695,36.622208,35.032394,18571.0
LC08_220080_20150509_18,15619,36.622208,35.032394,17757.0
LC08_220080_20150509_19,17828,36.622208,35.032394,17968.0
LC08_220080_20150509_20,15946,36.622208,35.032394,14836.0
LC08_220080_20150509_21,16715,36.622208,35.032394,13843.0
LC08_220080_20150509_22,16932,36.622208,35.032394,14237.0
LC08_220080_20150509_23,16043,36.622208,35.032394,15022.0
LC08_220080_20150509_24,14835,36.622208,35.032394,15046.0
LC08_220080_20150509_25,18215,36.622208,35.032394,15441.0
LC08_220080_20150509_26,22950,36.622208,35.032394,16416.0
LC08_220080_20150509_27,19441,36.622208,35.032394,17997.0
LC08_220080_20150509_28,15691,36.622208,35.032394,16449.0
LC08_220080_20150509_29,18799,36.622208,35.032394,15441.0
LC08_220080_20150509_30,19145,36.622208,35.032394,17426.0
LC08_220080_20150509_31,16067,36.622208,35.032394,14652.0
LC08_220080_20150509_32,12701,36.622208,35.032394,13280.0
LC08_220080_20150509_33,18296,36.622208,35.032394,18851.0
LC08_220080_20150509_34,16684,36.622208,35.032394,17295.0
LC08_220080_20150509_35,22795,36.622208,35.032394,20854.0
LC08_220080_20150509_36,15455,36.622208,35.032394,14665.0
LC08_220080_20150509_37,14808,36.622208,35.032394,14678.0
LC08_220081_20150509_0,19659,36.302567,33.73611,18411.0
LC08_220081_20150509_1,21409,36.302567,33.73611,20834.0
LC08_220081_20150509_2,16016,36.302567,33.73611,16243.0
LC08_220081_20150509_3,18475,36.302567,33.73611,18468.0
LC08_220081_20150509_4,20330,36.302567,33.73611,19305.0
LC08_220081_20150509_5,18154,36.302567,33.73611,18671.0
LC08_220081_20150509_6,13111,36.302567,33.73611,13142.0
LC08_220081_20150509_7,16440,36.302567,33.73611,16767.0
LC08_222079_20150507_0,19309,37.380733,36.75906,18825.5
LC08_222079_20150507_1,18710,37.380733,36.75906,17613.0
LC08_222079_20150507_2,23915,37.380733,36.75906,21980.5
LC08_222079_20150507_3,17973,37.380733,36.75906,16850.5
LC08_222079_20150507_4,20533,37.380733,36.75906,18930.0
LC08_222079_20150507_5,12636,37.380733,36.75906,14408.0
LC08_222079_20150507_6,17695,37.380733,36.75906,16308.0
LC08_222079_20150507_7,16694,37.380733,36.75906,16107.0
LC08_222079_20150507_8,15189,37.380733,36.75906,14792.0
LC08_222079_20150507_9,19557,37.380733,36.75906,18552.0
LC08_222079_20150507_10,19375,37.380733,36.75906,19290.0
LC08_222079_20150507_11,17613,37.380733,36.75906,16099.0
LC08_222079_20150507_12,12913,37.380733,36.75906,12446.0
LC08_222079_20150507_13,19807,37.380733,36.75906,18257.5
LC08_222079_20150507_14,20122,37.380733,36.75906,18683.0
LC08_222079_20150507_15,17219,37.380733,36.75906,16093.0
LC08_222079_20150507_16,16464,37.380733,36.75906,15529.0
LC08_222079_20150507_17,15230,37.380733,36.75906,14595.0
LC08_222079_20150507_18,21476,37.380733,36.75906,19994.0
LC08_222079_20150507_19,16491,37.380733,36.75906,15346.0
LC08_222079_20150507_20,14327,37.380733,36.75906,13501.0
LC08_222079_20150507_21,19813,37.380733,36.75906,18364.0
LC08_222079_20150507_22,15181,37.380733,36.75906,15372.0
LC08_222079_20150507_23,17119,37.380733,36.75906,16149.0
LC08_222079_20150507_24,13918,37.380733,36.75906,13315.0
LC08_222079_20150507_25,22871,37.380733,36.75906,21339.0
LC08_222079_20150507_26,8884,37.380733,36.75906,9536.0
LC08_222079_20150507_27,16507,37.380733,36.75906,15199.0
LC08_222079_20150507_28,15635,37.380733,36.75906,14807.0
LC08_222079_20150507_29,20782,37.380733,36.75906,18969.0
LC08_222079_20150507_30,28610,37.380733,36.75906,25302.0
LC08_222079_20150507_31,19600,37.380733,36.75906,17941.0
LC08_222079_20150507_32,12756,37.380733,36.75906,12183.0
LC08_222079_20150507_33,19536,37.380733,36.75906,18225.0
LC08_222079_20150507_34,21594,37.380733,36.75906,19907.0
LC08_222079_20150507_35,12107,37.380733,36.75906,12389.0
LC08_222079_20150507_36,19566,37.380733,36.75906,18218.0
LC08_222079_20150507_37,17375,37.380733,36.75906,15804.0
LC08_222079_20150507_38,14585,37.380733,36.75906,13539.0
LC08_222079_20150507_39,21619,37.380733,36.75906,19362.0
LC08_222079_20150507_40,11389,37.380733,36.75906,11828.0
LC08_222079_20150507_41,16070,37.380733,36.75906,15420.0
LC08_222079_20150507_42,14963,37.380733,36.75906,14296.0
LC08_222079_20150507_43,16372,37.380733,36.75906,15406.0
LC08_222079_20150507_44,19151,37.380733,36.75906,18097.0
LC08_222079_20150507_45,17237,37.380733,36.75906,17676.0
LC08_222079_20150507_46,15925,37.380733,36.75906,15239.0
LC08_222079_20150507_47,17396,37.380733,36.75906,16050.0
LC08_222079_20150507_48,11567,37.380733,36.75906,12599.0
LC08_222079_20150507_49,18895,37.380733,36.75906,17712.0
LC08_222079_20150507_50,24682,37.380733,36.75906,23142.0
LC08_222079_20150507_51,17909,37.380733,36.75906,16779.0
LC08_222079_20150507_52,21194,37.380733,36.75906,19614.0
LC08_222079_20150507_53,18342,37.380733,36.75906,16806.0
LC08_222079_20150507_54,15499,37.380733,36.75906,14512.0
LC08_222079_20150507_55,19149,37.380733,36.75906,18118.0
LC08_222079_20150507_56,8442,37.380733,36.75906,8790.0
LC08_222079_20150507_57,14794,37.380733,36.75906,14294.0
LC08_222079_20150507_58,27677,37.380733,36.75906,25361.0
LC08_222079_20150507_59,18933,37.380733,36.75906,17917.0
LC08_222079_20150507_60,13491,37.380733,36.75906,12803.0
LC08_222079_20150507_61,12474,37.380733,36.75906,13193.0
LC08_222079_20150507_62,19108,37.380733,36.75906,17550.0
LC08_222079_20150507_63,15326,37.380733,36.75906,14709.0
LC08_222079_20150507_64,20925,37.380733,36.75906,19265.0
LC08_222079_20150507_65,20064,37.380733,36.75906,16811.0
LC08_222079_20150507_66,21009,37.380733,36.75906,18711.0
LC08_222079_20150507_67,12503,37.380733,36.75906,13553.0
LC08_222079_20150507_68,16273,37.380733,36.75906,15447.0
LC08_222079_20150507_69,19519,37.380733,36.75906,17957.0
LC08_222079_20150507_70,14654,37.380733,36.75906,14162.0
LC08_222079_20150507_71,15947,37.380733,36.75906,13592.0
LC08_222079_20150507_72,17944,37.380733,36.75906,15305.0
LC08_222079_20150507_73,14793,37.380733,36.75906,14168.0
