system:index,L8,SA,SE,L7
LC08_220079_20150610_0,7171,33.922695,31.232273,7611.0
LC08_220079_20150610_1,7241,33.922695,31.232273,7350.0
LC08_220079_20150610_2,7194,33.922695,31.232273,7348.0
LC08_220079_20150610_3,10490,33.922695,31.232273,10034.0
LC08_220080_20150610_0,17637,33.69118,29.906847,16740.5
LC08_220080_20150610_1,11235,33.69118,29.906847,12745.0
LC08_220080_20150610_2,8833,33.69118,29.906847,11944.5
LC08_220080_20150610_3,17074,33.69118,29.906847,17443.5
LC08_220080_20150610_4,15562,33.69118,29.906847,15002.0
LC08_220080_20150610_5,12524,33.69118,29.906847,11769.0
LC08_220080_20150610_6,15814,33.69118,29.906847,15523.0
LC08_220080_20150610_7,12749,33.69118,29.906847,12181.5
LC08_220080_20150610_8,14835,33.69118,29.906847,12134.0
LC08_220080_20150610_9,8671,33.69118,29.906847,9419.5
LC08_220080_20150610_10,17258,33.69118,29.906847,16540.5
LC08_220080_20150610_11,16414,33.69118,29.906847,15033.0
LC08_220080_20150610_12,13565,33.69118,29.906847,13170.0
LC08_220080_20150610_13,15454,33.69118,29.906847,14831.5
LC08_220080_20150610_14,17085,33.69118,29.906847,16185.0
LC08_220080_20150610_15,17032,33.69118,29.906847,15735.0
LC08_220080_20150610_16,16070,33.69118,29.906847,15505.0
LC08_220080_20150610_17,16508,33.69118,29.906847,15507.0
LC08_220080_20150610_18,16670,33.69118,29.906847,15795.0
LC08_220080_20150610_19,19202,33.69118,29.906847,18963.0
LC08_220080_20150610_20,14413,33.69118,29.906847,14337.0
LC08_220080_20150610_21,13443,33.69118,29.906847,13421.0
LC08_220080_20150610_22,15754,33.69118,29.906847,14835.0
LC08_220080_20150610_23,20367,33.69118,29.906847,19687.0
LC08_220080_20150610_24,13939,33.69118,29.906847,14122.0
LC08_220080_20150610_25,16787,33.69118,29.906847,15967.0
LC08_220080_20150610_26,15664,33.69118,29.906847,15284.0
