system:index,L8,SA,SE,L7
LC08_002076_20150518_0,7188,36.64883,38.36955,8190.0
LC08_002076_20150518_1,7222,36.64883,38.36955,8932.0
LC08_002076_20150518_2,7200,36.64883,38.36955,7831.0
LC08_002076_20150518_3,7219,36.64883,38.36955,7651.5
LC08_002076_20150518_4,7249,36.64883,38.36955,7854.0
LC08_002076_20150518_5,12643,36.64883,38.36955,12710.0
LC08_221079_20150516_0,13951,35.806904,34.865475,14824.0
LC08_221079_20150516_1,14410,35.806904,34.865475,15628.0
LC08_221079_20150516_2,18292,35.806904,34.865475,17076.0
LC08_221079_20150516_3,16640,35.806904,34.865475,13446.0
LC08_221079_20150516_4,15833,35.806904,34.865475,14635.0
LC08_221079_20150516_5,19640,35.806904,34.865475,17609.0
LC08_221079_20150516_6,16395,35.806904,34.865475,18706.0
LC08_221079_20150516_7,17459,35.806904,34.865475,18135.0
LC08_221079_20150516_8,19282,35.806904,34.865475,20701.0
LC08_221079_20150516_9,17984,35.806904,34.865475,18700.0
LC08_221079_20150516_10,15905,35.806904,34.865475,16797.0
LC08_221079_20150516_11,16519,35.806904,34.865475,16141.0
LC08_221079_20150516_12,16442,35.806904,34.865475,16832.0
LC08_221079_20150516_13,15964,35.806904,34.865475,15994.0
LC08_221079_20150516_14,16768,35.806904,34.865475,17372.0
LC08_221079_20150516_15,23319,35.806904,34.865475,16422.0
LC08_221079_20150516_16,17790,35.806904,34.865475,17085.0
LC08_221080_20150516_0,16660,35.492695,33.55993,16372.0
LC08_221080_20150516_1,16965,35.492695,33.55993,15458.0
LC08_221080_20150516_2,18446,35.492695,33.55993,12609.5
LC08_221080_20150516_3,20469,35.492695,33.55993,19390.0
LC08_221080_20150516_4,17687,35.492695,33.55993,15352.0
LC08_221080_20150516_5,12938,35.492695,33.55993,12323.0
LC08_221080_20150516_6,15573,35.492695,33.55993,16426.0
LC08_221080_20150516_7,14638,35.492695,33.55993,14701.0
LC08_221080_20150516_8,13345,35.492695,33.55993,14763.0
LC08_221080_20150516_9,15565,35.492695,33.55993,17272.0
LC08_221080_20150516_10,16706,35.492695,33.55993,17509.0
LC08_221080_20150516_11,19363,35.492695,33.55993,18385.0
LC08_221080_20150516_12,17488,35.492695,33.55993,18720.0
LC08_221080_20150516_13,15145,35.492695,33.55993,14051.0
LC08_221080_20150516_14,16144,35.492695,33.55993,17339.0
LC08_221080_20150516_15,12975,35.492695,33.55993,14177.0
LC08_221080_20150516_16,20256,35.492695,33.55993,14852.0
LC08_221080_20150516_17,14574,35.492695,33.55993,15114.0
LC08_221080_20150516_18,20046,35.492695,33.55993,20263.0
LC08_221080_20150516_19,9875,35.492695,33.55993,9945.5
LC08_221080_20150516_20,17077,35.492695,33.55993,17016.5
LC08_221081_20150516_0,14779,35.215626,32.250027,15828.0
LC08_221081_20150516_1,7679,35.215626,32.250027,8029.0
LC08_221083_20150516_0,7778,34.76944,29.618582,8218.0
LC08_221083_20150516_1,7735,34.76944,29.618582,14480.0
LC08_221083_20150516_2,14866,34.76944,29.618582,12078.0
