system:index,L8,SA,SE,L7
LC08_221079_20150601_0,15549,34.18308,32.22455,15223.0
LC08_221079_20150601_1,14626,34.18308,32.22455,16181.0
LC08_221079_20150601_2,18084,34.18308,32.22455,17541.0
LC08_221079_20150601_3,17794,34.18308,32.22455,18357.0
LC08_221079_20150601_4,15979,34.18308,32.22455,16113.0
LC08_221079_20150601_5,17518,34.18308,32.22455,16881.0
LC08_221079_20150601_6,12466,34.18308,32.22455,12613.0
LC08_221079_20150601_7,13686,34.18308,32.22455,13504.0
LC08_221079_20150601_8,14572,34.18308,32.22455,14973.0
LC08_221079_20150601_9,15169,34.18308,32.22455,15066.0
LC08_221079_20150601_10,15321,34.18308,32.22455,15294.0
LC08_221079_20150601_11,16246,34.18308,32.22455,16361.5
LC08_221079_20150601_12,15581,34.18308,32.22455,15731.5
LC08_221079_20150601_13,15849,34.18308,32.22455,15991.0
LC08_221079_20150601_14,13499,34.18308,32.22455,13304.5
LC08_221079_20150601_15,13435,34.18308,32.22455,13987.0
LC08_221079_20150601_16,10195,34.18308,32.22455,10168.0
LC08_221079_20150601_17,14017,34.18308,32.22455,14598.0
LC08_221079_20150601_18,17023,34.18308,32.22455,16987.0
LC08_221079_20150601_19,18565,34.18308,32.22455,18574.0
LC08_221079_20150601_20,14923,34.18308,32.22455,15030.5
LC08_221079_20150601_21,13753,34.18308,32.22455,13289.5
LC08_221079_20150601_22,10291,34.18308,32.22455,11206.0
LC08_221079_20150601_23,16067,34.18308,32.22455,16614.0
LC08_221080_20150601_0,16726,33.93373,30.901773,15199.0
LC08_221080_20150601_1,11637,33.93373,30.901773,12291.0
LC08_221080_20150601_2,16043,33.93373,30.901773,15409.0
LC08_221080_20150601_3,16830,33.93373,30.901773,16324.0
LC08_221080_20150601_4,18969,33.93373,30.901773,18679.0
LC08_221080_20150601_5,14997,33.93373,30.901773,14844.0
LC08_221080_20150601_6,14938,33.93373,30.901773,15436.0
LC08_221080_20150601_7,18869,33.93373,30.901773,18798.0
LC08_221080_20150601_8,12055,33.93373,30.901773,14541.0
LC08_221080_20150601_9,18063,33.93373,30.901773,18605.0
LC08_221080_20150601_10,15538,33.93373,30.901773,15015.0
LC08_221080_20150601_11,15613,33.93373,30.901773,15906.0
LC08_221080_20150601_12,14410,33.93373,30.901773,13886.0
LC08_221080_20150601_13,15585,33.93373,30.901773,15453.0
LC08_221080_20150601_14,17832,33.93373,30.901773,18173.0
LC08_221080_20150601_15,16486,33.93373,30.901773,16595.0
LC08_221080_20150601_16,18854,33.93373,30.901773,18380.0
LC08_221080_20150601_17,12580,33.93373,30.901773,12772.0
LC08_221080_20150601_18,18312,33.93373,30.901773,17825.0
LC08_221080_20150601_19,18349,33.93373,30.901773,18046.0
LC08_221080_20150601_20,17384,33.93373,30.901773,16709.0
