system:index,L8,SA,SE,L7
LC08_222079_20150523_0,16820,34.90137,33.58785,15613.5
LC08_222079_20150523_1,12876,34.90137,33.58785,11875.5
LC08_222079_20150523_2,20715,34.90137,33.58785,17799.0
LC08_222079_20150523_3,20201,34.90137,33.58785,18651.0
LC08_222079_20150523_4,11876,34.90137,33.58785,11474.0
LC08_222079_20150523_5,16441,34.90137,33.58785,15430.0
LC08_222079_20150523_6,15301,34.90137,33.58785,14185.0
LC08_222079_20150523_7,24381,34.90137,33.58785,19775.0
LC08_222079_20150523_8,20504,34.90137,33.58785,17275.5
LC08_222079_20150523_9,18094,34.90137,33.58785,15473.0
LC08_222079_20150523_10,20275,34.90137,33.58785,17160.0
LC08_222079_20150523_11,20458,34.90137,33.58785,17967.0
LC08_222079_20150523_12,19314,34.90137,33.58785,17354.0
LC08_222079_20150523_13,15183,34.90137,33.58785,14222.0
LC08_222079_20150523_14,17233,34.90137,33.58785,15917.0
LC08_222079_20150523_15,16263,34.90137,33.58785,14657.0
LC08_222079_20150523_16,25400,34.90137,33.58785,21317.0
LC08_222079_20150523_17,20017,34.90137,33.58785,16570.0
LC08_222079_20150523_18,34126,34.90137,33.58785,29059.0
LC08_222079_20150523_19,9621,34.90137,33.58785,8778.0
LC08_222079_20150523_20,19282,34.90137,33.58785,14069.0
LC08_222079_20150523_21,23835,34.90137,33.58785,23081.0
LC08_222079_20150523_22,20261,34.90137,33.58785,17423.0
LC08_222080_20150523_0,22783,34.62102,32.272205,19983.0
LC08_222080_20150523_1,15709,34.62102,32.272205,14296.5
LC08_222080_20150523_2,16443,34.62102,32.272205,15076.5
LC08_222080_20150523_3,21549,34.62102,32.272205,18400.5
LC08_222080_20150523_4,16089,34.62102,32.272205,14874.0
LC08_222080_20150523_5,16035,34.62102,32.272205,15208.5
LC08_222080_20150523_6,18087,34.62102,32.272205,16077.0
LC08_222080_20150523_7,13533,34.62102,32.272205,17504.0
LC08_222080_20150523_8,15613,34.62102,32.272205,14234.0
LC08_222080_20150523_9,18490,34.62102,32.272205,16500.0
LC08_222080_20150523_10,16306,34.62102,32.272205,14252.0
LC08_222080_20150523_11,19581,34.62102,32.272205,17517.0
LC08_222080_20150523_12,16534,34.62102,32.272205,14689.0
LC08_222080_20150523_13,20295,34.62102,32.272205,15380.0
LC08_222080_20150523_14,20150,34.62102,32.272205,17317.0
LC08_222080_20150523_15,19254,34.62102,32.272205,13201.0
LC08_222080_20150523_16,14542,34.62102,32.272205,14958.0
