system:index,L8,SA,SE,L7
LC08_224078_20150521_0,15783,35.452633,35.242046,14384.0
LC08_224078_20150521_1,18388,35.452633,35.242046,17229.0
LC08_224078_20150521_2,14906,35.452633,35.242046,13788.0
LC08_224078_20150521_3,17515,35.452633,35.242046,16591.0
LC08_224078_20150521_4,22592,35.452633,35.242046,20814.0
LC08_224078_20150521_5,15693,35.452633,35.242046,15841.5
LC08_224078_20150521_6,19820,35.452633,35.242046,19260.0
LC08_224078_20150521_7,19430,35.452633,35.242046,19377.5
LC08_224079_20150521_0,18397,35.126812,33.933838,17292.0
LC08_224079_20150521_1,17489,35.126812,33.933838,16076.0
LC08_224079_20150521_2,16132,35.126812,33.933838,15264.5
LC08_224079_20150521_3,18839,35.126812,33.933838,17312.0
LC08_224079_20150521_4,19728,35.126812,33.933838,18146.0
LC08_224079_20150521_5,18179,35.126812,33.933838,15874.0
LC08_224079_20150521_6,17801,35.126812,33.933838,16678.0
LC08_224079_20150521_7,12967,35.126812,33.933838,12294.5
LC08_224079_20150521_8,21986,35.126812,33.933838,20521.0
LC08_224079_20150521_9,19989,35.126812,33.933838,18515.5
LC08_224079_20150521_10,16026,35.126812,33.933838,15651.5
LC08_224079_20150521_11,17891,35.126812,33.933838,17284.0
LC08_224079_20150521_12,19130,35.126812,33.933838,17696.0
LC08_224079_20150521_13,12686,35.126812,33.933838,11993.0
LC08_224079_20150521_14,14514,35.126812,33.933838,13847.0
LC08_224079_20150521_15,20190,35.126812,33.933838,18158.0
LC08_224079_20150521_16,11120,35.126812,33.933838,16945.0
LC08_224079_20150521_17,16025,35.126812,33.933838,15711.0
LC08_224079_20150521_18,17596,35.126812,33.933838,16145.0
LC08_224079_20150521_19,14005,35.126812,33.933838,12649.0
LC08_224079_20150521_20,17084,35.126812,33.933838,16155.0
LC08_224079_20150521_21,16157,35.126812,33.933838,14926.0
LC08_224079_20150521_22,16885,35.126812,33.933838,15533.0
LC08_224079_20150521_23,15491,35.126812,33.933838,14917.0
LC08_224079_20150521_24,17477,35.126812,33.933838,16151.0
LC08_224079_20150521_25,16724,35.126812,33.933838,15751.0
LC08_224079_20150521_26,19833,35.126812,33.933838,18206.0
LC08_224079_20150521_27,17517,35.126812,33.933838,16510.0
LC08_224079_20150521_28,21937,35.126812,33.933838,18951.0
LC08_224079_20150521_29,12233,35.126812,33.933838,11187.0
LC08_224079_20150521_30,13907,35.126812,33.933838,13035.0
