system:index,L8,SA,SE,L7
LC08_001076_20150527_0,16139,35.529133,36.864624,16376.0
LC08_001076_20150527_1,15393,35.529133,36.864624,15428.0
LC08_001076_20150527_2,15256,35.529133,36.864624,16204.0
LC08_001076_20150527_3,13239,35.529133,36.864624,13588.5
LC08_001076_20150527_4,13267,35.529133,36.864624,13536.0
LC08_001076_20150527_5,14984,35.529133,36.864624,15294.0
LC08_001076_20150527_6,16873,35.529133,36.864624,17723.0
LC08_001076_20150527_7,14762,35.529133,36.864624,15041.0
LC08_001076_20150527_8,14584,35.529133,36.864624,15116.0
LC08_001076_20150527_9,15668,35.529133,36.864624,16000.0
LC08_001076_20150527_10,15278,35.529133,36.864624,15558.0
LC08_001076_20150527_11,13256,35.529133,36.864624,14168.0
LC08_001076_20150527_12,13543,35.529133,36.864624,14011.5
LC08_001076_20150527_13,14097,35.529133,36.864624,14423.0
LC08_001076_20150527_14,12666,35.529133,36.864624,13130.0
LC08_001076_20150527_15,15454,35.529133,36.864624,15642.5
LC08_001076_20150527_16,13980,35.529133,36.864624,14275.5
LC08_001076_20150527_17,17848,35.529133,36.864624,18323.0
LC08_001076_20150527_18,12995,35.529133,36.864624,14795.0
LC08_001076_20150527_19,14549,35.529133,36.864624,14548.0
LC08_001076_20150527_20,17085,35.529133,36.864624,17405.0
LC08_001076_20150527_21,14894,35.529133,36.864624,15142.0
LC08_001076_20150527_22,12146,35.529133,36.864624,12772.0
LC08_001076_20150527_23,15616,35.529133,36.864624,15896.0
LC08_001076_20150527_24,15113,35.529133,36.864624,15151.0
LC08_001076_20150527_25,12280,35.529133,36.864624,12638.0
LC08_001076_20150527_26,16401,35.529133,36.864624,16161.0
LC08_001077_20150527_0,7088,35.154438,35.558163,8441.0
LC08_001077_20150527_1,7109,35.154438,35.558163,8442.0
LC08_001077_20150527_2,7100,35.154438,35.558163,8632.0
LC08_001077_20150527_3,12747,35.154438,35.558163,13168.0
LC08_001077_20150527_4,7241,35.154438,35.558163,8663.0
LC08_001077_20150527_5,7097,35.154438,35.558163,8440.0
LC08_001077_20150527_6,7145,35.154438,35.558163,8635.0
LC08_001077_20150527_7,15616,35.154438,35.558163,15438.0
LC08_001077_20150527_8,15541,35.154438,35.558163,16185.0
LC08_001077_20150527_9,18540,35.154438,35.558163,19806.0
LC08_001077_20150527_10,15646,35.154438,35.558163,16455.0
LC08_001077_20150527_11,14249,35.154438,35.558163,14701.0
LC08_001077_20150527_12,15175,35.154438,35.558163,15329.0
LC08_001077_20150527_13,14047,35.154438,35.558163,14204.0
LC08_001077_20150527_14,14830,35.154438,35.558163,17317.0
LC08_001077_20150527_15,15086,35.154438,35.558163,15334.0
LC08_001077_20150527_16,12800,35.154438,35.558163,13214.0
LC08_001077_20150527_17,14144,35.154438,35.558163,15089.0
LC08_001077_20150527_18,14287,35.154438,35.558163,14725.0
LC08_001077_20150527_19,14329,35.154438,35.558163,14892.0
LC08_001077_20150527_20,16931,35.154438,35.558163,17318.0
LC08_001077_20150527_21,12375,35.154438,35.558163,12835.0
LC08_001077_20150527_22,11218,35.154438,35.558163,12209.0
LC08_001077_20150527_23,14666,35.154438,35.558163,14862.0
LC08_001077_20150527_24,13777,35.154438,35.558163,15615.0
LC08_001077_20150527_25,15264,35.154438,35.558163,16136.0
LC08_001077_20150527_26,15244,35.154438,35.558163,15899.0
LC08_001077_20150527_27,21221,35.154438,35.558163,14760.0
LC08_001077_20150527_28,15627,35.154438,35.558163,15910.0
LC08_001077_20150527_29,14921,35.154438,35.558163,15657.0
LC08_001077_20150527_30,13522,35.154438,35.558163,14028.0
LC08_001077_20150527_31,15115,35.154438,35.558163,15448.0
LC08_001077_20150527_32,14514,35.154438,35.558163,15071.0
LC08_001077_20150527_33,13748,35.154438,35.558163,14059.0
LC08_001077_20150527_34,17085,35.154438,35.558163,17486.0
LC08_001077_20150527_35,14846,35.154438,35.558163,15340.0
LC08_001077_20150527_36,15946,35.154438,35.558163,16549.0
LC08_001077_20150527_37,17685,35.154438,35.558163,17695.0
LC08_001077_20150527_38,14632,35.154438,35.558163,14661.0
LC08_001077_20150527_39,15147,35.154438,35.558163,15674.0
LC08_001077_20150527_40,14785,35.154438,35.558163,15298.0
LC08_001077_20150527_41,13177,35.154438,35.558163,13906.0
LC08_001077_20150527_42,14809,35.154438,35.558163,15429.0
LC08_001077_20150527_43,14980,35.154438,35.558163,15684.0
LC08_001077_20150527_44,14808,35.154438,35.558163,15310.0
LC08_001077_20150527_45,14045,35.154438,35.558163,14558.0
LC08_001077_20150527_46,15764,35.154438,35.558163,16357.0
LC08_001077_20150527_47,15558,35.154438,35.558163,15999.0
LC08_001077_20150527_48,14159,35.154438,35.558163,14504.5
LC08_001077_20150527_49,15916,35.154438,35.558163,16181.5
LC08_001077_20150527_50,17303,35.154438,35.558163,17801.5
LC08_001077_20150527_51,16838,35.154438,35.558163,17742.0
LC08_001077_20150527_52,15558,35.154438,35.558163,15931.0
LC08_001077_20150527_53,12532,35.154438,35.558163,13091.5
LC08_001077_20150527_54,14298,35.154438,35.558163,14641.0
LC08_001077_20150527_55,11741,35.154438,35.558163,12406.0
LC08_001077_20150527_56,16143,35.154438,35.558163,16611.0
LC08_001077_20150527_57,16344,35.154438,35.558163,16109.0
LC08_001077_20150527_58,17384,35.154438,35.558163,17639.0
LC08_001077_20150527_59,12422,35.154438,35.558163,13028.5
LC08_001077_20150527_60,16552,35.154438,35.558163,17220.5
LC08_001077_20150527_61,15882,35.154438,35.558163,16502.0
LC08_001078_20150527_0,12813,34.817745,34.24718,13172.0
LC08_001078_20150527_1,12959,34.817745,34.24718,13306.0
LC08_001078_20150527_2,12871,34.817745,34.24718,13028.0
LC08_001078_20150527_3,13026,34.817745,34.24718,13425.0
LC08_001078_20150527_4,13086,34.817745,34.24718,13557.0
LC08_001078_20150527_5,13036,34.817745,34.24718,13691.0
LC08_001078_20150527_6,13971,34.817745,34.24718,14370.0
LC08_001078_20150527_7,14082,34.817745,34.24718,15015.0
LC08_001078_20150527_8,11457,34.817745,34.24718,12257.0
LC08_001078_20150527_9,13186,34.817745,34.24718,13583.0
LC08_001078_20150527_10,13541,34.817745,34.24718,13594.0
LC08_001078_20150527_11,17824,34.817745,34.24718,18234.0
LC08_001078_20150527_12,18843,34.817745,34.24718,18257.0
LC08_001078_20150527_13,14299,34.817745,34.24718,14690.0
