system:index,L8,SA,SE,L7
LC08_002076_20150603_0,15282,35.025723,35.911125,14581.0
LC08_002076_20150603_1,7277,35.025723,35.911125,8078.0
LC08_002076_20150603_2,7202,35.025723,35.911125,8079.0
LC08_002076_20150603_3,7194,35.025723,35.911125,11269.0
LC08_002076_20150603_4,7244,35.025723,35.911125,8301.0
LC08_002076_20150603_5,10007,35.025723,35.911125,10681.0
LC08_002076_20150603_6,7172,35.025723,35.911125,8091.0
LC08_002076_20150603_7,13136,35.025723,35.911125,12889.0
LC08_002076_20150603_8,7182,35.025723,35.911125,8093.0
LC08_002076_20150603_9,7691,35.025723,35.911125,8489.0
LC08_219079_20150603_0,7268,34.08726,31.971306,7643.0
LC08_219079_20150603_1,7181,34.08726,31.971306,7446.0
LC08_219079_20150603_2,7194,34.08726,31.971306,7884.0
LC08_219079_20150603_3,7128,34.08726,31.971306,7675.0
LC08_219079_20150603_4,7199,34.08726,31.971306,7672.0
LC08_226078_20150604_0,18905,34.32182,33.168262,18284.0
LC08_226078_20150604_1,20271,34.32182,33.168262,18397.0
LC08_226078_20150604_2,17996,34.32182,33.168262,9964.0
LC08_226078_20150604_3,17271,34.32182,33.168262,9038.0
LC08_226078_20150604_4,17616,34.32182,33.168262,17524.0
LC08_226078_20150604_5,17315,34.32182,33.168262,17236.0
LC08_226078_20150604_6,14273,34.32182,33.168262,13416.0
LC08_226078_20150604_7,10656,34.32182,33.168262,15249.0
LC08_226078_20150604_8,12959,34.32182,33.168262,14117.0
LC08_226078_20150604_9,16894,34.32182,33.168262,16545.0
LC08_226078_20150604_10,16894,34.32182,33.168262,14809.0
LC08_226078_20150604_11,18533,34.32182,33.168262,17894.0
LC08_226078_20150604_12,10570,34.32182,33.168262,10905.0
LC08_226078_20150604_13,17088,34.32182,33.168262,15480.0
LC08_226078_20150604_14,17582,34.32182,33.168262,16718.0
LC08_226078_20150604_15,19129,34.32182,33.168262,18307.0
LC08_226078_20150604_16,17499,34.32182,33.168262,16742.0
LC08_226078_20150604_17,15240,34.32182,33.168262,16165.0
LC08_226078_20150604_18,9312,34.32182,33.168262,8513.0
LC08_226078_20150604_19,7588,34.32182,33.168262,8716.0
LC08_226078_20150604_20,7729,34.32182,33.168262,8298.0
LC08_226080_20150604_0,25398,33.803734,30.523548,12341.0
LC08_226080_20150604_1,33362,33.803734,30.523548,12621.0
LC08_226080_20150604_2,11498,33.803734,30.523548,16609.0
LC08_226080_20150604_3,10548,33.803734,30.523548,12799.0
LC08_226080_20150604_4,15086,33.803734,30.523548,9882.0
LC08_226080_20150604_5,30553,33.803734,30.523548,22165.0
LC08_226080_20150604_6,14044,33.803734,30.523548,10357.0
LC08_226080_20150604_7,11822,33.803734,30.523548,15885.0
LC08_226080_20150604_8,13764,33.803734,30.523548,20604.0
LC08_226080_20150604_9,20882,33.803734,30.523548,15954.0
LC08_226080_20150604_10,18083,33.803734,30.523548,15578.5
LC08_226080_20150604_11,18680,33.803734,30.523548,15566.0
LC08_226080_20150604_12,14121,33.803734,30.523548,13195.0
LC08_226080_20150604_13,14564,33.803734,30.523548,14603.5
LC08_226080_20150604_14,18632,33.803734,30.523548,16338.0
LC08_226080_20150604_15,16240,33.803734,30.523548,14844.0
LC08_226080_20150604_16,18537,33.803734,30.523548,12010.0
LC08_226081_20150604_0,15820,33.594975,29.19564,14917.0
LC08_226081_20150604_1,17277,33.594975,29.19564,16184.0
LC08_226081_20150604_2,10446,33.594975,29.19564,16243.0
LC08_226081_20150604_3,13659,33.594975,29.19564,13665.0
LC08_226081_20150604_4,16180,33.594975,29.19564,15919.0
LC08_226081_20150604_5,17654,33.594975,29.19564,17446.0
LC08_226081_20150604_6,12466,33.594975,29.19564,16315.0
